"Year: All values"
"Gender: All values"
"Academic Discipline, Broad (standardized): All values"
"Level of Degree or Other Award: All values"
,,,"","Degrees/Awards Conferred (NCES population of institutions) (Sum)"
"1991","Female","Math and Computer Sciences","Post-Baccalaureate Certificates","61"
"1991","Female","Math and Computer Sciences","2 But Less Than 4 Year Certificates","52"
"1991","Female","Math and Computer Sciences","1 But Less Than 2 Year Certificates","2,608"
"1991","Female","Math and Computer Sciences","Less Than 1 Year Certificates","703"
"1991","Female","Life Sciences","Doctorate Degrees","2,495"
"1991","Female","Life Sciences","First Professional Degrees","10,406"
"1991","Female","Life Sciences","Master's Degrees","17,709"
"1991","Female","Life Sciences","Bachelor's Degrees","68,565"
"1991","Female","Life Sciences","Associate's Degrees","43,880"
"1991","Female","Life Sciences","Post-Master's Certificates","112"
"1991","Female","Life Sciences","Post-Baccalaureate Certificates","152"
"1991","Female","Life Sciences","2 But Less Than 4 Year Certificates","876"
"1991","Female","Life Sciences","1 But Less Than 2 Year Certificates","1,596"
"1991","Female","Life Sciences","Less Than 1 Year Certificates","771"
"1991","Female","Psychology","Doctorate Degrees","2,113"
"1991","Female","Psychology","Master's Degrees","6,808"
"1991","Female","Psychology","Bachelor's Degrees","42,738"
"1991","Female","Psychology","Associate's Degrees","740"
"1991","Female","Psychology","Post-Master's Certificates","69"
"1991","Female","Psychology","Post-Baccalaureate Certificates","132"
"1991","Female","Psychology","2 But Less Than 4 Year Certificates","2"
"1991","Female","Psychology","1 But Less Than 2 Year Certificates","9"
"1991","Female","Psychology","Less Than 1 Year Certificates","16"
"1991","Female","Social Sciences","Doctorate Degrees","1,113"
"1991","Female","Social Sciences","Master's Degrees","8,627"
"1991","Female","Social Sciences","Bachelor's Degrees","52,467"
"1991","Female","Social Sciences","Associate's Degrees","1,936"
"1991","Female","Social Sciences","Post-Master's Certificates","88"
"1991","Female","Social Sciences","Post-Baccalaureate Certificates","100"
"1991","Female","Social Sciences","2 But Less Than 4 Year Certificates","81"
"1991","Female","Social Sciences","1 But Less Than 2 Year Certificates","106"
"1991","Female","Social Sciences","Less Than 1 Year Certificates","95"
"1991","Female","Science and Engineering Technologies","Doctorate Degrees","136"
"1991","Female","Science and Engineering Technologies","Master's Degrees","2,943"
"1991","Female","Science and Engineering Technologies","Bachelor's Degrees","7,616"
"1991","Female","Science and Engineering Technologies","Associate's Degrees","25,194"
"1991","Female","Science and Engineering Technologies","Post-Master's Certificates","24"
"1991","Female","Science and Engineering Technologies","Post-Baccalaureate Certificates","122"
"1991","Female","Science and Engineering Technologies","2 But Less Than 4 Year Certificates","1,456"
"1991","Female","Science and Engineering Technologies","1 But Less Than 2 Year Certificates","22,686"
"1991","Female","Science and Engineering Technologies","Less Than 1 Year Certificates","12,560"
"1991","Female","Interdisciplinary or Other Sciences","Doctorate Degrees","14"
"1991","Female","Interdisciplinary or Other Sciences","Master's Degrees","222"
"1991","Female","Interdisciplinary or Other Sciences","Bachelor's Degrees","1,638"
"1991","Female","Interdisciplinary or Other Sciences","Associate's Degrees","2,913"
"1991","Female","Interdisciplinary or Other Sciences","Post-Baccalaureate Certificates","21"
"1991","Female","Interdisciplinary or Other Sciences","2 But Less Than 4 Year Certificates","12"
"1991","Female","Interdisciplinary or Other Sciences","1 But Less Than 2 Year Certificates","6"
"1991","Female","Interdisciplinary or Other Sciences","Less Than 1 Year Certificates","19"
"1991","Female","Humanities","Doctorate Degrees","1,270"
"1991","Female","Humanities","Master's Degrees","7,225"
"1991","Female","Humanities","Bachelor's Degrees","54,249"
"1991","Female","Humanities","Associate's Degrees","634"
"1991","Female","Humanities","Post-Master's Certificates","98"
"1991","Female","Humanities","Post-Baccalaureate Certificates","82"
"1991","Female","Humanities","2 But Less Than 4 Year Certificates","32"
"1991","Female","Humanities","1 But Less Than 2 Year Certificates","68"
"1991","Female","Humanities","Less Than 1 Year Certificates","279"
"1991","Female","Religion and Theology","Doctorate Degrees","168"
"1991","Female","Religion and Theology","First Professional Degrees","1,335"
"1991","Female","Religion and Theology","Master's Degrees","1,501"
"1991","Female","Religion and Theology","Bachelor's Degrees","1,755"
"1991","Female","Religion and Theology","Associate's Degrees","193"
"1991","Female","Religion and Theology","Post-Master's Certificates","39"
"1991","Female","Religion and Theology","Post-Baccalaureate Certificates","192"
"1991","Female","Religion and Theology","2 But Less Than 4 Year Certificates","78"
"1991","Female","Religion and Theology","1 But Less Than 2 Year Certificates","215"
"1991","Female","Religion and Theology","Less Than 1 Year Certificates","22"
"1991","Female","Arts and Music","Doctorate Degrees","373"
"1991","Female","Arts and Music","Master's Degrees","4,872"
"1991","Female","Arts and Music","Bachelor's Degrees","26,603"
"1991","Female","Arts and Music","Associate's Degrees","5,373"
"1991","Female","Arts and Music","Post-Master's Certificates","59"
"1991","Female","Arts and Music","Post-Baccalaureate Certificates","64"
"1991","Female","Arts and Music","2 But Less Than 4 Year Certificates","174"
"1991","Female","Arts and Music","1 But Less Than 2 Year Certificates","1,262"
"1991","Female","Arts and Music","Less Than 1 Year Certificates","135"
"1991","Female","Architecture and Environmental Design","Doctorate Degrees","34"
"1991","Female","Architecture and Environmental Design","Master's Degrees","1,250"
"1991","Female","Architecture and Environmental Design","Bachelor's Degrees","4,008"
"1991","Female","Architecture and Environmental Design","Associate's Degrees","1,754"
"1991","Female","Architecture and Environmental Design","Post-Master's Certificates","1"
"1991","Female","Architecture and Environmental Design","Post-Baccalaureate Certificates","10"
"1991","Female","Architecture and Environmental Design","2 But Less Than 4 Year Certificates","69"
"1991","Female","Architecture and Environmental Design","1 But Less Than 2 Year Certificates","1,269"
"1991","Female","Architecture and Environmental Design","Less Than 1 Year Certificates","15"
"1991","Female","Education","Doctorate Degrees","3,912"
"1991","Female","Education","Master's Degrees","68,802"
"1991","Female","Education","Bachelor's Degrees","89,671"
"1991","Female","Education","Associate's Degrees","5,706"
"1991","Female","Education","Post-Master's Certificates","2,899"
"1991","Female","Education","Post-Baccalaureate Certificates","1,326"
"1991","Female","Education","2 But Less Than 4 Year Certificates","72"
"1991","Female","Education","1 But Less Than 2 Year Certificates","354"
"1991","Female","Education","Less Than 1 Year Certificates","173"
"1991","Female","Business and Management","Doctorate Degrees","331"
"1991","Female","Business and Management","Master's Degrees","27,709"
"1991","Female","Business and Management","Bachelor's Degrees","121,803"
"1991","Female","Business and Management","Associate's Degrees","74,365"
"1991","Female","Business and Management","Post-Master's Certificates","24"
"1991","Female","Business and Management","Post-Baccalaureate Certificates","192"
"1991","Female","Business and Management","2 But Less Than 4 Year Certificates","956"
"1991","Female","Business and Management","1 But Less Than 2 Year Certificates","21,222"
"1991","Female","Business and Management","Less Than 1 Year Certificates","11,080"
"1991","Female","Communication and Librarianship","Doctorate Degrees","153"
"1991","Female","Communication and Librarianship","Master's Degrees","6,358"
"1991","Female","Communication and Librarianship","Bachelor's Degrees","31,937"
"1991","Female","Communication and Librarianship","Associate's Degrees","1,092"
"1991","Female","Communication and Librarianship","Post-Master's Certificates","20"
"1991","Female","Communication and Librarianship","Post-Baccalaureate Certificates","7"
"1991","Female","Communication and Librarianship","2 But Less Than 4 Year Certificates","12"
"1991","Female","Communication and Librarianship","1 But Less Than 2 Year Certificates","273"
"1991","Female","Communication and Librarianship","Less Than 1 Year Certificates","152"
"1991","Female","Law","Doctorate Degrees","25"
"1991","Female","Law","First Professional Degrees","16,481"
"1991","Female","Law","Master's Degrees","613"
"1991","Female","Law","Bachelor's Degrees","611"
"1991","Female","Law","Associate's Degrees","232"
"1991","Female","Law","Post-Master's Certificates","2"
"1991","Female","Law","1 But Less Than 2 Year Certificates","37"
"1991","Female","Law","Less Than 1 Year Certificates","169"
"1991","Female","Social Service Professions","Doctorate Degrees","168"
"1991","Female","Social Service Professions","Master's Degrees","9,115"
"1991","Female","Social Service Professions","Bachelor's Degrees","9,824"
"1991","Female","Social Service Professions","Associate's Degrees","1,882"
"1991","Female","Social Service Professions","Post-Master's Certificates","42"
"1991","Female","Social Service Professions","Post-Baccalaureate Certificates","8"
"1991","Female","Social Service Professions","2 But Less Than 4 Year Certificates","31"
"1991","Female","Social Service Professions","1 But Less Than 2 Year Certificates","160"
"1991","Female","Social Service Professions","Less Than 1 Year Certificates","44"
"1991","Female","Vocational Studies and Home Economics","Doctorate Degrees","207"
"1991","Female","Vocational Studies and Home Economics","Master's Degrees","2,104"
"1991","Female","Vocational Studies and Home Economics","Bachelor's Degrees","19,865"
"1991","Female","Vocational Studies and Home Economics","Associate's Degrees","10,450"
"1991","Female","Vocational Studies and Home Economics","Post-Master's Certificates","10"
"1991","Female","Vocational Studies and Home Economics","Post-Baccalaureate Certificates","76"
"1991","Female","Vocational Studies and Home Economics","2 But Less Than 4 Year Certificates","208"
"1991","Female","Vocational Studies and Home Economics","1 But Less Than 2 Year Certificates","6,056"
"1991","Female","Vocational Studies and Home Economics","Less Than 1 Year Certificates","2,578"
"1991","Female","Other Non-sciences or Unknown Disciplines","Doctorate Degrees","456"
"1991","Female","Other Non-sciences or Unknown Disciplines","First Professional Degrees","188"
"1991","Female","Other Non-sciences or Unknown Disciplines","Master's Degrees","6,684"
"1991","Female","Other Non-sciences or Unknown Disciplines","Bachelor's Degrees","36,329"
"1991","Female","Other Non-sciences or Unknown Disciplines","Associate's Degrees","104,884"
"1991","Female","Other Non-sciences or Unknown Disciplines","Post-Master's Certificates","23"
"1991","Female","Other Non-sciences or Unknown Disciplines","Post-Baccalaureate Certificates","63"
"1991","Female","Other Non-sciences or Unknown Disciplines","2 But Less Than 4 Year Certificates","775"
"1991","Female","Other Non-sciences or Unknown Disciplines","1 But Less Than 2 Year Certificates","8,918"
"1991","Female","Other Non-sciences or Unknown Disciplines","Less Than 1 Year Certificates","4,003"
"1991","Male","Engineering","Doctorate Degrees","4,785"
"1991","Male","Engineering","Master's Degrees","20,656"
"1991","Male","Engineering","Bachelor's Degrees","52,522"
"1991","Male","Engineering","Associate's Degrees","2,233"
"1991","Male","Engineering","Post-Master's Certificates","96"
"1991","Male","Engineering","Post-Baccalaureate Certificates","39"
"1991","Male","Engineering","2 But Less Than 4 Year Certificates","14"
"1991","Male","Engineering","1 But Less Than 2 Year Certificates","92"
"1991","Male","Engineering","Less Than 1 Year Certificates","70"
"1991","Male","Physical Sciences","Doctorate Degrees","2,905"
"1991","Male","Physical Sciences","Master's Degrees","2,703"
"1991","Male","Physical Sciences","Bachelor's Degrees","9,253"
"1991","Male","Physical Sciences","Associate's Degrees","679"
"1991","Male","Physical Sciences","Post-Master's Certificates","50"
"1991","Male","Physical Sciences","1 But Less Than 2 Year Certificates","6"
"1991","Male","Geosciences","Doctorate Degrees","534"
"1991","Male","Geosciences","Master's Degrees","1,116"
"1991","Male","Geosciences","Bachelor's Degrees","1,946"
"1991","Male","Geosciences","Associate's Degrees","23"
"1991","Male","Geosciences","Post-Master's Certificates","13"
"1991","Male","Geosciences","Post-Baccalaureate Certificates","3"
"1991","Male","Geosciences","1 But Less Than 2 Year Certificates","1"
"1991","Male","Geosciences","Less Than 1 Year Certificates","18"
"1991","Male","Math and Computer Sciences","Doctorate Degrees","1,374"
"1991","Male","Math and Computer Sciences","Master's Degrees","8,709"
"1991","Male","Math and Computer Sciences","Bachelor's Degrees","25,700"
"1991","Male","Math and Computer Sciences","Associate's Degrees","4,438"
"1991","Male","Math and Computer Sciences","Post-Master's Certificates","71"
"1991","Male","Math and Computer Sciences","Post-Baccalaureate Certificates","74"
"1991","Male","Math and Computer Sciences","2 But Less Than 4 Year Certificates","42"
"1991","Male","Math and Computer Sciences","1 But Less Than 2 Year Certificates","1,491"
"1991","Male","Math and Computer Sciences","Less Than 1 Year Certificates","571"
"1991","Male","Life Sciences","Doctorate Degrees","3,924"
"1991","Male","Life Sciences","First Professional Degrees","17,777"
"1991","Male","Life Sciences","Master's Degrees","7,368"
"1991","Male","Life Sciences","Bachelor's Degrees","33,002"
"1991","Male","Life Sciences","Associate's Degrees","6,473"
"1991","Male","Life Sciences","Post-Master's Certificates","166"
"1991","Male","Life Sciences","Post-Baccalaureate Certificates","95"
"1991","Male","Life Sciences","2 But Less Than 4 Year Certificates","151"
"1991","Male","Life Sciences","1 But Less Than 2 Year Certificates","408"
"1991","Male","Life Sciences","Less Than 1 Year Certificates","293"
"1991","Male","Psychology","Doctorate Degrees","1,337"
"1991","Male","Psychology","Master's Degrees","2,994"
"1991","Male","Psychology","Bachelor's Degrees","16,155"
"1991","Male","Psychology","Associate's Degrees","257"
"1991","Male","Psychology","Post-Master's Certificates","28"
"1991","Male","Psychology","Post-Baccalaureate Certificates","33"
"1991","Male","Psychology","2 But Less Than 4 Year Certificates","1"
"1991","Male","Psychology","1 But Less Than 2 Year Certificates","9"
"1991","Male","Psychology","Less Than 1 Year Certificates","2"
"1991","Male","Social Sciences","Doctorate Degrees","2,005"
"1991","Male","Social Sciences","Master's Degrees","10,288"
"1991","Male","Social Sciences","Bachelor's Degrees","58,745"
"1991","Male","Social Sciences","Associate's Degrees","1,154"
"1991","Male","Social Sciences","Post-Master's Certificates","154"
"1991","Male","Social Sciences","Post-Baccalaureate Certificates","74"
"1991","Male","Social Sciences","2 But Less Than 4 Year Certificates","8"
"1991","Male","Social Sciences","1 But Less Than 2 Year Certificates","55"
"1991","Male","Social Sciences","Less Than 1 Year Certificates","66"
"1991","Male","Science and Engineering Technologies","Doctorate Degrees","154"
"1991","Male","Science and Engineering Technologies","Master's Degrees","2,015"
"1991","Male","Science and Engineering Technologies","Bachelor's Degrees","18,373"
"1991","Male","Science and Engineering Technologies","Associate's Degrees","44,969"
"1991","Male","Science and Engineering Technologies","Post-Master's Certificates","10"
"1991","Male","Science and Engineering Technologies","Post-Baccalaureate Certificates","51"
"1991","Male","Science and Engineering Technologies","2 But Less Than 4 Year Certificates","1,995"
"1991","Male","Science and Engineering Technologies","1 But Less Than 2 Year Certificates","11,359"
"1991","Male","Science and Engineering Technologies","Less Than 1 Year Certificates","7,191"
"1991","Male","Interdisciplinary or Other Sciences","Doctorate Degrees","62"
"1991","Male","Interdisciplinary or Other Sciences","Master's Degrees","328"
"1991","Male","Interdisciplinary or Other Sciences","Bachelor's Degrees","1,998"
"1991","Male","Interdisciplinary or Other Sciences","Associate's Degrees","2,632"
"1991","Male","Interdisciplinary or Other Sciences","Post-Master's Certificates","1"
"1991","Male","Interdisciplinary or Other Sciences","1 But Less Than 2 Year Certificates","10"
"1991","Male","Interdisciplinary or Other Sciences","Less Than 1 Year Certificates","2"
"1991","Male","Humanities","Doctorate Degrees","1,362"
"1991","Male","Humanities","Master's Degrees","4,732"
"1991","Male","Humanities","Bachelor's Degrees","38,817"
"1991","Male","Humanities","Associate's Degrees","369"
"1991","Male","Humanities","Post-Master's Certificates","116"
"1991","Male","Humanities","Post-Baccalaureate Certificates","49"
"1991","Male","Humanities","2 But Less Than 4 Year Certificates","9"
"1991","Male","Humanities","1 But Less Than 2 Year Certificates","194"
"1991","Male","Humanities","Less Than 1 Year Certificates","252"
"1991","Male","Religion and Theology","Doctorate Degrees","1,042"
"1991","Male","Religion and Theology","First Professional Degrees","4,360"
"1991","Male","Religion and Theology","Master's Degrees","2,929"
"1991","Male","Religion and Theology","Bachelor's Degrees","4,420"
"1991","Male","Religion and Theology","Associate's Degrees","341"
"1991","Male","Religion and Theology","Post-Master's Certificates","105"
"1991","Male","Religion and Theology","Post-Baccalaureate Certificates","190"
"1991","Male","Religion and Theology","2 But Less Than 4 Year Certificates","94"
"1991","Male","Religion and Theology","1 But Less Than 2 Year Certificates","181"
"1991","Male","Religion and Theology","Less Than 1 Year Certificates","12"
"1991","Male","Arts and Music","Doctorate Degrees","471"
"1991","Male","Arts and Music","Master's Degrees","3,895"
"1991","Male","Arts and Music","Bachelor's Degrees","15,906"
"1991","Male","Arts and Music","Associate's Degrees","3,769"
"1991","Male","Arts and Music","Post-Master's Certificates","39"
"1991","Male","Arts and Music","Post-Baccalaureate Certificates","69"
"1991","Male","Arts and Music","2 But Less Than 4 Year Certificates","161"
"1991","Male","Arts and Music","1 But Less Than 2 Year Certificates","436"
"1991","Male","Arts and Music","Less Than 1 Year Certificates","100"
"1991","Male","Architecture and Environmental Design","Doctorate Degrees","101"
"1991","Male","Architecture and Environmental Design","Master's Degrees","2,254"
"1991","Male","Architecture and Environmental Design","Bachelor's Degrees","5,803"
"1991","Male","Architecture and Environmental Design","Associate's Degrees","291"
"1991","Male","Architecture and Environmental Design","Post-Master's Certificates","5"
"1991","Male","Architecture and Environmental Design","Post-Baccalaureate Certificates","24"
"1991","Male","Architecture and Environmental Design","2 But Less Than 4 Year Certificates","15"
"1991","Male","Architecture and Environmental Design","1 But Less Than 2 Year Certificates","149"
"1991","Male","Architecture and Environmental Design","Less Than 1 Year Certificates","2"
"1991","Male","Education","Doctorate Degrees","2,829"
"1991","Male","Education","Master's Degrees","21,305"
"1991","Male","Education","Bachelor's Degrees","24,411"
"1991","Male","Education","Associate's Degrees","2,233"
"1991","Male","Education","Post-Master's Certificates","1,323"
"1991","Male","Education","Post-Baccalaureate Certificates","408"
"1991","Male","Education","2 But Less Than 4 Year Certificates","35"
"1991","Male","Education","1 But Less Than 2 Year Certificates","85"
"1991","Male","Education","Less Than 1 Year Certificates","31"
"1991","Male","Business and Management","Doctorate Degrees","966"
"1991","Male","Business and Management","Master's Degrees","51,531"
"1991","Male","Business and Management","Bachelor's Degrees","135,790"
"1991","Male","Business and Management","Associate's Degrees","33,247"
"1991","Male","Business and Management","Post-Master's Certificates","38"
"1991","Male","Business and Management","Post-Baccalaureate Certificates","236"
"1991","Male","Business and Management","2 But Less Than 4 Year Certificates","446"
"1991","Male","Business and Management","1 But Less Than 2 Year Certificates","5,009"
"1991","Male","Business and Management","Less Than 1 Year Certificates","4,666"
"1991","Male","Communication and Librarianship","Doctorate Degrees","162"
"1991","Male","Communication and Librarianship","Master's Degrees","2,629"
"1991","Male","Communication and Librarianship","Bachelor's Degrees","20,136"
"1991","Male","Communication and Librarianship","Associate's Degrees","911"
"1991","Male","Communication and Librarianship","Post-Master's Certificates","6"
"1991","Male","Communication and Librarianship","Post-Baccalaureate Certificates","7"
"1991","Male","Communication and Librarianship","2 But Less Than 4 Year Certificates","26"
"1991","Male","Communication and Librarianship","1 But Less Than 2 Year Certificates","197"
"1991","Male","Communication and Librarianship","Less Than 1 Year Certificates","146"
"1991","Male","Law","Doctorate Degrees","65"
"1991","Male","Law","First Professional Degrees","21,844"
"1991","Male","Law","Master's Degrees","1,441"
"1991","Male","Law","Bachelor's Degrees","481"
"1991","Male","Law","Associate's Degrees","80"
"1991","Male","Law","Post-Master's Certificates","8"
"1991","Male","Law","1 But Less Than 2 Year Certificates","2"
"1991","Male","Law","Less Than 1 Year Certificates","54"
"1991","Male","Social Service Professions","Doctorate Degrees","72"
"1991","Male","Social Service Professions","Master's Degrees","2,072"
"1991","Male","Social Service Professions","Bachelor's Degrees","1,670"
"1991","Male","Social Service Professions","Associate's Degrees","313"
"1991","Male","Social Service Professions","Post-Master's Certificates","11"
"1991","Male","Social Service Professions","Post-Baccalaureate Certificates","2"
"1991","Male","Social Service Professions","2 But Less Than 4 Year Certificates","5"
"1991","Male","Social Service Professions","1 But Less Than 2 Year Certificates","113"
"1991","Male","Social Service Professions","Less Than 1 Year Certificates","5"
"1991","Male","Vocational Studies and Home Economics","Doctorate Degrees","74"
"1991","Male","Vocational Studies and Home Economics","Master's Degrees","1,040"
"1991","Male","Vocational Studies and Home Economics","Bachelor's Degrees","12,079"
"1991","Male","Vocational Studies and Home Economics","Associate's Degrees","12,993"
"1991","Male","Vocational Studies and Home Economics","Post-Master's Certificates","4"
"1991","Male","Vocational Studies and Home Economics","Post-Baccalaureate Certificates","12"
"1991","Male","Vocational Studies and Home Economics","2 But Less Than 4 Year Certificates","88"
"1991","Male","Vocational Studies and Home Economics","1 But Less Than 2 Year Certificates","2,236"
"1991","Male","Vocational Studies and Home Economics","Less Than 1 Year Certificates","5,078"
"1991","Male","Other Non-sciences or Unknown Disciplines","Doctorate Degrees","551"
"1991","Male","Other Non-sciences or Unknown Disciplines","First Professional Degrees","245"
"1991","Male","Other Non-sciences or Unknown Disciplines","Master's Degrees","6,890"
"1991","Male","Other Non-sciences or Unknown Disciplines","Bachelor's Degrees","31,745"
"1991","Male","Other Non-sciences or Unknown Disciplines","Associate's Degrees","82,638"
"1991","Male","Other Non-sciences or Unknown Disciplines","Post-Master's Certificates","22"
"1991","Male","Other Non-sciences or Unknown Disciplines","Post-Baccalaureate Certificates","128"
"1991","Male","Other Non-sciences or Unknown Disciplines","2 But Less Than 4 Year Certificates","3,025"
"1991","Male","Other Non-sciences or Unknown Disciplines","1 But Less Than 2 Year Certificates","20,690"
"1991","Male","Other Non-sciences or Unknown Disciplines","Less Than 1 Year Certificates","9,695"
"1992","Female","Engineering","Doctorate Degrees","527"
"1992","Female","Engineering","Master's Degrees","3,669"
"1992","Female","Engineering","Bachelor's Degrees","9,636"
"1992","Female","Engineering","Associate's Degrees","355"
"1992","Female","Engineering","Post-Master's Certificates","15"
"1992","Female","Engineering","Post-Baccalaureate Certificates","23"
"1992","Female","Engineering","2 But Less Than 4 Year Certificates","1"
"1992","Female","Engineering","1 But Less Than 2 Year Certificates","6"
"1992","Female","Engineering","Less Than 1 Year Certificates","8"
"1992","Female","Physical Sciences","Doctorate Degrees","813"
"1992","Female","Physical Sciences","Master's Degrees","1,088"
"1992","Female","Physical Sciences","Bachelor's Degrees","4,586"
"1992","Female","Physical Sciences","Associate's Degrees","495"
"1992","Female","Physical Sciences","Post-Master's Certificates","40"
"1992","Female","Physical Sciences","Less Than 1 Year Certificates","10"
"1992","Female","Geosciences","Doctorate Degrees","149"
"1992","Female","Geosciences","Master's Degrees","368"
"1992","Female","Geosciences","Bachelor's Degrees","1,024"
"1992","Female","Geosciences","Associate's Degrees","27"
"1992","Female","Geosciences","Post-Master's Certificates","4"
"1992","Female","Geosciences","Less Than 1 Year Certificates","9"
"1992","Female","Math and Computer Sciences","Doctorate Degrees","328"
"1992","Female","Math and Computer Sciences","Master's Degrees","4,121"
"1992","Female","Math and Computer Sciences","Bachelor's Degrees","14,196"
"1992","Female","Math and Computer Sciences","Associate's Degrees","5,189"
"1992","Female","Math and Computer Sciences","Post-Master's Certificates","28"
"1992","Female","Math and Computer Sciences","Post-Baccalaureate Certificates","36"
"1992","Female","Math and Computer Sciences","2 But Less Than 4 Year Certificates","96"
"1992","Female","Math and Computer Sciences","1 But Less Than 2 Year Certificates","2,025"
"1992","Female","Math and Computer Sciences","Less Than 1 Year Certificates","814"
"1992","Female","Life Sciences","Doctorate Degrees","2,745"
"1992","Female","Life Sciences","First Professional Degrees","10,609"
"1992","Female","Life Sciences","Master's Degrees","20,617"
"1992","Female","Life Sciences","Bachelor's Degrees","74,160"
"1992","Female","Life Sciences","Associate's Degrees","49,210"
"1992","Female","Life Sciences","Post-Master's Certificates","179"
"1992","Female","Life Sciences","Post-Baccalaureate Certificates","135"
"1992","Female","Life Sciences","2 But Less Than 4 Year Certificates","1,759"
"1992","Female","Life Sciences","1 But Less Than 2 Year Certificates","3,006"
"1992","Female","Life Sciences","Less Than 1 Year Certificates","1,503"
"1992","Female","Psychology","Doctorate Degrees","1,980"
"1992","Female","Psychology","Master's Degrees","6,923"
"1992","Female","Psychology","Bachelor's Degrees","46,903"
"1992","Female","Psychology","Associate's Degrees","871"
"1992","Female","Psychology","Post-Master's Certificates","116"
"1992","Female","Psychology","Post-Baccalaureate Certificates","55"
"1992","Female","Psychology","2 But Less Than 4 Year Certificates","9"
"1992","Female","Psychology","1 But Less Than 2 Year Certificates","3"
"1992","Female","Psychology","Less Than 1 Year Certificates","25"
"1992","Female","Social Sciences","Doctorate Degrees","1,128"
"1992","Female","Social Sciences","Master's Degrees","9,123"
"1992","Female","Social Sciences","Bachelor's Degrees","56,421"
"1992","Female","Social Sciences","Associate's Degrees","2,264"
"1992","Female","Social Sciences","Post-Master's Certificates","180"
"1992","Female","Social Sciences","Post-Baccalaureate Certificates","127"
"1992","Female","Social Sciences","2 But Less Than 4 Year Certificates","101"
"1992","Female","Social Sciences","1 But Less Than 2 Year Certificates","139"
"1992","Female","Social Sciences","Less Than 1 Year Certificates","129"
"1992","Female","Science and Engineering Technologies","Doctorate Degrees","70"
"1992","Female","Science and Engineering Technologies","Master's Degrees","1,943"
"1992","Female","Science and Engineering Technologies","Bachelor's Degrees","7,278"
"1992","Female","Science and Engineering Technologies","Associate's Degrees","27,044"
"1992","Female","Science and Engineering Technologies","Post-Master's Certificates","30"
"1992","Female","Science and Engineering Technologies","Post-Baccalaureate Certificates","126"
"1992","Female","Science and Engineering Technologies","2 But Less Than 4 Year Certificates","2,626"
"1992","Female","Science and Engineering Technologies","1 But Less Than 2 Year Certificates","23,965"
"1992","Female","Science and Engineering Technologies","Less Than 1 Year Certificates","14,532"
"1992","Female","Interdisciplinary or Other Sciences","Doctorate Degrees","13"
"1992","Female","Interdisciplinary or Other Sciences","Master's Degrees","204"
"1992","Female","Interdisciplinary or Other Sciences","Bachelor's Degrees","1,582"
"1992","Female","Interdisciplinary or Other Sciences","Associate's Degrees","3,096"
"1992","Female","Interdisciplinary or Other Sciences","Post-Master's Certificates","4"
"1992","Female","Interdisciplinary or Other Sciences","Post-Baccalaureate Certificates","23"
"1992","Female","Interdisciplinary or Other Sciences","2 But Less Than 4 Year Certificates","20"
"1992","Female","Interdisciplinary or Other Sciences","1 But Less Than 2 Year Certificates","10"
"1992","Female","Interdisciplinary or Other Sciences","Less Than 1 Year Certificates","14"
"1992","Female","Humanities","Doctorate Degrees","1,390"
"1992","Female","Humanities","Master's Degrees","7,382"
"1992","Female","Humanities","Bachelor's Degrees","57,547"
"1992","Female","Humanities","Associate's Degrees","1,091"
"1992","Female","Humanities","Post-Master's Certificates","203"
"1992","Female","Humanities","Post-Baccalaureate Certificates","52"
"1992","Female","Humanities","2 But Less Than 4 Year Certificates","638"
"1992","Female","Humanities","1 But Less Than 2 Year Certificates","80"
"1992","Female","Humanities","Less Than 1 Year Certificates","230"
"1992","Female","Religion and Theology","Doctorate Degrees","215"
"1992","Female","Religion and Theology","First Professional Degrees","1,226"
"1992","Female","Religion and Theology","Master's Degrees","1,644"
"1992","Female","Religion and Theology","Bachelor's Degrees","1,866"
"1992","Female","Religion and Theology","Associate's Degrees","174"
"1992","Female","Religion and Theology","Post-Master's Certificates","47"
"1992","Female","Religion and Theology","Post-Baccalaureate Certificates","100"
"1992","Female","Religion and Theology","2 But Less Than 4 Year Certificates","42"
"1992","Female","Religion and Theology","1 But Less Than 2 Year Certificates","191"
"1992","Female","Religion and Theology","Less Than 1 Year Certificates","68"
"1992","Female","Arts and Music","Doctorate Degrees","407"
"1992","Female","Arts and Music","Master's Degrees","5,307"
"1992","Female","Arts and Music","Bachelor's Degrees","28,996"
"1992","Female","Arts and Music","Associate's Degrees","7,107"
"1992","Female","Arts and Music","Post-Master's Certificates","87"
"1992","Female","Arts and Music","Post-Baccalaureate Certificates","78"
"1992","Female","Arts and Music","2 But Less Than 4 Year Certificates","394"
"1992","Female","Arts and Music","1 But Less Than 2 Year Certificates","2,276"
"1992","Female","Arts and Music","Less Than 1 Year Certificates","153"
"1992","Female","Architecture and Environmental Design","Doctorate Degrees","39"
"1992","Female","Architecture and Environmental Design","Master's Degrees","1,392"
"1992","Female","Architecture and Environmental Design","Bachelor's Degrees","2,976"
"1992","Female","Architecture and Environmental Design","Associate's Degrees","337"
"1992","Female","Architecture and Environmental Design","Post-Master's Certificates","3"
"1992","Female","Architecture and Environmental Design","Post-Baccalaureate Certificates","4"
"1992","Female","Architecture and Environmental Design","2 But Less Than 4 Year Certificates","38"
"1992","Female","Architecture and Environmental Design","1 But Less Than 2 Year Certificates","24"
