"Year: All values"
"Carnegie Classification (standardized): All values"
"Academic Discipline, Detailed (standardized): All values"
"Gender: All values"
"Level of Degree or Other Award: Bachelor's Degrees"
,,,"","Degrees/Awards Conferred (NCES population of institutions) (Sum)","Degrees/Awards Conferred-2nd Major (NCES population of institutions) (Sum)"
"1991","Master's/Comprehensive I","Computer Science","Female","2,974","."
"1991","Master's/Comprehensive I","Computer Science","Male","6,571","."
"1991","Master's/Comprehensive I","Agricultural Sciences","Female","522","."
"1991","Master's/Comprehensive I","Agricultural Sciences","Male","1,107","."
"1991","Master's/Comprehensive I","Biological Sciences","Female","5,371","."
"1991","Master's/Comprehensive I","Biological Sciences","Male","4,683","."
"1991","Master's/Comprehensive I","Medical Sciences","Female","661","."
"1991","Master's/Comprehensive I","Medical Sciences","Male","563","."
"1991","Master's/Comprehensive I","Other Life Sciences","Female","14,964","."
"1991","Master's/Comprehensive I","Other Life Sciences","Male","1,660","."
"1991","Master's/Comprehensive I","Psychology","Female","14,354","."
"1991","Master's/Comprehensive I","Psychology","Male","4,761","."
"1991","Master's/Comprehensive I","Economics","Female","1,280","."
"1991","Master's/Comprehensive I","Economics","Male","2,779","."
"1991","Master's/Comprehensive I","Political Science and Public Administration","Female","4,414","."
"1991","Master's/Comprehensive I","Political Science and Public Administration","Male","5,549","."
"1991","Master's/Comprehensive I","Sociology","Female","4,211","."
"1991","Master's/Comprehensive I","Sociology","Male","1,760","."
"1991","Master's/Comprehensive I","Anthropology","Female","387","."
"1991","Master's/Comprehensive I","Anthropology","Male","259","."
"1991","Master's/Comprehensive I","Linguistics","Female","64","."
"1991","Master's/Comprehensive I","Linguistics","Male","32","."
"1991","Master's/Comprehensive I","Area and Ethnic Studies","Female","317","."
"1991","Master's/Comprehensive I","Area and Ethnic Studies","Male","195","."
"1991","Master's/Comprehensive I","Other Social Sciences","Female","2,060","."
"1991","Master's/Comprehensive I","Other Social Sciences","Male","2,310","."
"1991","Master's/Comprehensive I","Science Technologies","Female","10","."
"1991","Master's/Comprehensive I","Science Technologies","Male","16","."
"1991","Master's/Comprehensive I","Engineering Technologies","Female","861","."
"1991","Master's/Comprehensive I","Engineering Technologies","Male","6,412","."
"1991","Master's/Comprehensive I","Health Technologies","Female","2,061","."
"1991","Master's/Comprehensive I","Health Technologies","Male","632","."
"1991","Master's/Comprehensive I","Interdisciplinary or Other Sciences","Female","331","."
"1991","Master's/Comprehensive I","Interdisciplinary or Other Sciences","Male","348","."
"1991","Master's/Comprehensive I","History","Female","2,245","."
"1991","Master's/Comprehensive I","History","Male","3,824","."
"1991","Master's/Comprehensive I","English and Literature","Female","9,843","."
"1991","Master's/Comprehensive I","English and Literature","Male","4,395","."
"1991","Master's/Comprehensive I","Foreign Languages","Female","1,924","."
"1991","Master's/Comprehensive I","Foreign Languages","Male","658","."
"1991","Master's/Comprehensive I","Other Humanities","Female","284","."
"1991","Master's/Comprehensive I","Other Humanities","Male","603","."
"1991","Master's/Comprehensive I","Religion and Theology","Female","246","."
"1991","Master's/Comprehensive I","Religion and Theology","Male","609","."
"1991","Master's/Comprehensive I","Arts and Music","Female","7,177","."
"1991","Master's/Comprehensive I","Arts and Music","Male","4,451","."
"1991","Master's/Comprehensive I","Architecture and Environmental Design","Female","648","."
"1991","Master's/Comprehensive I","Architecture and Environmental Design","Male","802","."
"1991","Master's/Comprehensive I","Science Education","Female","389","."
"1991","Master's/Comprehensive I","Science Education","Male","272","."
"1991","Master's/Comprehensive I","Mathematics Education","Female","528","."
"1991","Master's/Comprehensive I","Mathematics Education","Male","308","."
"1991","Master's/Comprehensive I","Social Science Education","Female","206","."
"1991","Master's/Comprehensive I","Social Science Education","Male","257","."
"1991","Master's/Comprehensive I","Other Science/Technical Education","Female","671","."
"1991","Master's/Comprehensive I","Other Science/Technical Education","Male","1,236","."
"1991","Master's/Comprehensive I","Non-Science Education","Female","39,441","."
"1991","Master's/Comprehensive I","Non-Science Education","Male","8,570","."
"1991","Master's/Comprehensive I","Business and Management","Female","47,604","."
"1991","Master's/Comprehensive I","Business and Management","Male","49,683","."
"1991","Master's/Comprehensive I","Communication and Librarianship","Female","10,437","."
"1991","Master's/Comprehensive I","Communication and Librarianship","Male","7,131","."
"1991","Master's/Comprehensive I","Law","Female","185","."
"1991","Master's/Comprehensive I","Law","Male","108","."
"1991","Master's/Comprehensive I","Social Service Professions","Female","4,354","."
"1991","Master's/Comprehensive I","Social Service Professions","Male","726","."
"1991","Master's/Comprehensive I","Vocational Studies and Home Economics","Female","7,215","."
"1991","Master's/Comprehensive I","Vocational Studies and Home Economics","Male","5,554","."
"1991","Master's/Comprehensive I","Other Non-sciences or Unknown Disciplines","Female","12,850","."
"1991","Master's/Comprehensive I","Other Non-sciences or Unknown Disciplines","Male","8,210","."
"1991","Other Specialized","Aerospace Engineering","Female","10","."
"1991","Other Specialized","Aerospace Engineering","Male","153","."
"1991","Other Specialized","Civil Engineering","Female","4","."
"1991","Other Specialized","Civil Engineering","Male","59","."
"1991","Other Specialized","Electrical Engineering","Female","6","."
"1991","Other Specialized","Electrical Engineering","Male","113","."
"1991","Other Specialized","Mechanical Engineering","Female","2","."
"1991","Other Specialized","Mechanical Engineering","Male","108","."
"1991","Other Specialized","Other Engineering","Female","32","."
"1991","Other Specialized","Other Engineering","Male","431","."
"1991","Other Specialized","Chemistry","Female","2","."
"1991","Other Specialized","Chemistry","Male","20","."
"1991","Other Specialized","Physics","Female","2","."
"1991","Other Specialized","Physics","Male","63","."
"1991","Other Specialized","Other Physical Sciences","Female","10","."
"1991","Other Specialized","Other Physical Sciences","Male","70","."
"1991","Other Specialized","Atmospheric Sciences","Female","5","."
"1991","Other Specialized","Atmospheric Sciences","Male","7","."
"1991","Other Specialized","Oceanography","Female","16","."
"1991","Other Specialized","Oceanography","Male","74","."
"1991","Other Specialized","Mathematics and Statistics","Female","10","."
"1991","Other Specialized","Mathematics and Statistics","Male","80","."
"1991","Other Specialized","Computer Science","Female","6","."
"1991","Other Specialized","Computer Science","Male","64","."
"1991","Other Specialized","Biological Sciences","Female","13","."
"1991","Other Specialized","Biological Sciences","Male","40","."
"1991","Other Specialized","Psychology","Female","67","."
"1991","Other Specialized","Psychology","Male","76","."
"1991","Other Specialized","Economics","Female","4","."
"1991","Other Specialized","Economics","Male","93","."
"1991","Other Specialized","Political Science and Public Administration","Female","121","."
"1991","Other Specialized","Political Science and Public Administration","Male","316","."
"1991","Other Specialized","Area and Ethnic Studies","Female","1","."
"1991","Other Specialized","Other Social Sciences","Female","71","."
"1991","Other Specialized","Other Social Sciences","Male","28","."
"1991","Other Specialized","Health Technologies","Female","5","."
"1991","Other Specialized","Interdisciplinary or Other Sciences","Female","28","."
"1991","Other Specialized","Interdisciplinary or Other Sciences","Male","225","."
"1991","Other Specialized","History","Female","16","."
"1991","Other Specialized","History","Male","130","."
"1991","Other Specialized","English and Literature","Female","25","."
"1991","Other Specialized","English and Literature","Male","55","."
"1991","Other Specialized","Foreign Languages","Female","8","."
"1991","Other Specialized","Foreign Languages","Male","1","."
"1991","Other Specialized","Arts and Music","Female","2","."
"1991","Other Specialized","Arts and Music","Male","2","."
"1991","Other Specialized","Non-Science Education","Female","9","."
"1991","Other Specialized","Non-Science Education","Male","6","."
"1991","Other Specialized","Business and Management","Female","19","."
"1991","Other Specialized","Business and Management","Male","220","."
"1991","Other Specialized","Law","Female","6","."
"1991","Other Specialized","Law","Male","19","."
"1991","Other Specialized","Social Service Professions","Female","12","."
"1991","Other Specialized","Social Service Professions","Male","8","."
"1991","Other Specialized","Vocational Studies and Home Economics","Female","104","."
"1991","Other Specialized","Vocational Studies and Home Economics","Male","171","."
"1991","Other Specialized","Other Non-sciences or Unknown Disciplines","Female","129","."
"1991","Other Specialized","Other Non-sciences or Unknown Disciplines","Male","1,010","."
"1991","Master's/Comprehensive II","Chemical Engineering","Female","3","."
"1991","Master's/Comprehensive II","Chemical Engineering","Male","19","."
"1991","Master's/Comprehensive II","Civil Engineering","Female","7","."
"1991","Master's/Comprehensive II","Civil Engineering","Male","24","."
"1991","Master's/Comprehensive II","Electrical Engineering","Female","6","."
"1991","Master's/Comprehensive II","Electrical Engineering","Male","26","."
"1991","Master's/Comprehensive II","Mechanical Engineering","Female","1","."
"1991","Master's/Comprehensive II","Mechanical Engineering","Male","13","."
"1991","Master's/Comprehensive II","Materials Engineering","Female","1","."
"1991","Master's/Comprehensive II","Materials Engineering","Male","4","."
"1991","Master's/Comprehensive II","Industrial Engineering","Female","3","."
"1991","Master's/Comprehensive II","Industrial Engineering","Male","11","."
"1991","Master's/Comprehensive II","Other Engineering","Female","21","."
"1991","Master's/Comprehensive II","Other Engineering","Male","167","."
"1991","Master's/Comprehensive II","Chemistry","Female","114","."
"1991","Master's/Comprehensive II","Chemistry","Male","123","."
"1991","Master's/Comprehensive II","Physics","Female","19","."
"1991","Master's/Comprehensive II","Physics","Male","59","."
"1991","Master's/Comprehensive II","Other Physical Sciences","Female","25","."
"1991","Master's/Comprehensive II","Other Physical Sciences","Male","17","."
"1991","Master's/Comprehensive II","Earth Sciences","Female","10","."
"1991","Master's/Comprehensive II","Earth Sciences","Male","12","."
"1991","Master's/Comprehensive II","Mathematics and Statistics","Female","210","."
"1991","Master's/Comprehensive II","Mathematics and Statistics","Male","194","."
"1991","Master's/Comprehensive II","Computer Science","Female","305","."
"1991","Master's/Comprehensive II","Computer Science","Male","718","."
"1991","Master's/Comprehensive II","Agricultural Sciences","Female","9","."
"1991","Master's/Comprehensive II","Agricultural Sciences","Male","22","."
"1991","Master's/Comprehensive II","Biological Sciences","Female","550","."
"1991","Master's/Comprehensive II","Biological Sciences","Male","438","."
"1991","Master's/Comprehensive II","Medical Sciences","Female","73","."
"1991","Master's/Comprehensive II","Medical Sciences","Male","75","."
"1991","Master's/Comprehensive II","Other Life Sciences","Female","1,765","."
"1991","Master's/Comprehensive II","Other Life Sciences","Male","239","."
"1991","Master's/Comprehensive II","Psychology","Female","1,285","."
"1991","Master's/Comprehensive II","Psychology","Male","481","."
"1991","Master's/Comprehensive II","Economics","Female","55","."
"1991","Master's/Comprehensive II","Economics","Male","141","."
"1991","Master's/Comprehensive II","Political Science and Public Administration","Female","314","."
"1991","Master's/Comprehensive II","Political Science and Public Administration","Male","337","."
"1991","Master's/Comprehensive II","Sociology","Female","387","."
"1991","Master's/Comprehensive II","Sociology","Male","161","."
"1991","Master's/Comprehensive II","Anthropology","Female","18","."
"1991","Master's/Comprehensive II","Anthropology","Male","11","."
"1991","Master's/Comprehensive II","Area and Ethnic Studies","Female","15","."
"1991","Master's/Comprehensive II","Area and Ethnic Studies","Male","5","."
"1991","Master's/Comprehensive II","Other Social Sciences","Female","257","."
"1991","Master's/Comprehensive II","Other Social Sciences","Male","150","."
"1991","Master's/Comprehensive II","Science Technologies","Female","2","."
"1991","Master's/Comprehensive II","Science Technologies","Male","5","."
"1991","Master's/Comprehensive II","Engineering Technologies","Female","74","."
"1991","Master's/Comprehensive II","Engineering Technologies","Male","711","."
"1991","Master's/Comprehensive II","Health Technologies","Female","155","."
"1991","Master's/Comprehensive II","Health Technologies","Male","60","."
"1991","Master's/Comprehensive II","Interdisciplinary or Other Sciences","Female","21","."
"1991","Master's/Comprehensive II","Interdisciplinary or Other Sciences","Male","46","."
"1991","Master's/Comprehensive II","History","Female","247","."
"1991","Master's/Comprehensive II","History","Male","296","."
"1991","Master's/Comprehensive II","English and Literature","Female","704","."
"1991","Master's/Comprehensive II","English and Literature","Male","229","."
"1991","Master's/Comprehensive II","Foreign Languages","Female","186","."
"1991","Master's/Comprehensive II","Foreign Languages","Male","51","."
"1991","Master's/Comprehensive II","Other Humanities","Female","35","."
"1991","Master's/Comprehensive II","Other Humanities","Male","27","."
"1991","Master's/Comprehensive II","Religion and Theology","Female","62","."
"1991","Master's/Comprehensive II","Religion and Theology","Male","198","."
"1991","Master's/Comprehensive II","Arts and Music","Female","540","."
"1991","Master's/Comprehensive II","Arts and Music","Male","239","."
"1991","Master's/Comprehensive II","Architecture and Environmental Design","Female","71","."
"1991","Master's/Comprehensive II","Architecture and Environmental Design","Male","29","."
"1991","Master's/Comprehensive II","Science Education","Female","18","."
"1991","Master's/Comprehensive II","Science Education","Male","17","."
"1991","Master's/Comprehensive II","Mathematics Education","Female","16","."
"1991","Master's/Comprehensive II","Mathematics Education","Male","9","."
"1991","Master's/Comprehensive II","Social Science Education","Female","28","."
"1991","Master's/Comprehensive II","Social Science Education","Male","13","."
"1991","Master's/Comprehensive II","Other Science/Technical Education","Female","22","."
"1991","Master's/Comprehensive II","Other Science/Technical Education","Male","33","."
"1991","Master's/Comprehensive II","Non-Science Education","Female","2,679","."
"1991","Master's/Comprehensive II","Non-Science Education","Male","499","."
"1991","Master's/Comprehensive II","Business and Management","Female","5,115","."
"1991","Master's/Comprehensive II","Business and Management","Male","5,248","."
"1991","Master's/Comprehensive II","Communication and Librarianship","Female","860","."
"1991","Master's/Comprehensive II","Communication and Librarianship","Male","539","."
"1991","Master's/Comprehensive II","Law","Female","3","."
"1991","Master's/Comprehensive II","Law","Male","3","."
"1991","Master's/Comprehensive II","Social Service Professions","Female","408","."
"1991","Master's/Comprehensive II","Social Service Professions","Male","64","."
"1991","Master's/Comprehensive II","Vocational Studies and Home Economics","Female","249","."
"1991","Master's/Comprehensive II","Vocational Studies and Home Economics","Male","308","."
"1991","Master's/Comprehensive II","Other Non-sciences or Unknown Disciplines","Female","1,213","."
"1991","Master's/Comprehensive II","Other Non-sciences or Unknown Disciplines","Male","697","."
"1991","Engineering and Technology","Aerospace Engineering","Female","6","."
"1991","Engineering and Technology","Aerospace Engineering","Male","105","."
"1991","Engineering and Technology","Chemical Engineering","Female","16","."
"1991","Engineering and Technology","Chemical Engineering","Male","64","."
"1991","Engineering and Technology","Civil Engineering","Female","13","."
"1991","Engineering and Technology","Civil Engineering","Male","74","."
"1991","Engineering and Technology","Electrical Engineering","Female","76","."
"1991","Engineering and Technology","Electrical Engineering","Male","581","."
"1991","Engineering and Technology","Mechanical Engineering","Female","43","."
"1991","Engineering and Technology","Mechanical Engineering","Male","385","."
"1991","Engineering and Technology","Materials Engineering","Female","17","."
"1991","Engineering and Technology","Materials Engineering","Male","62","."
"1991","Engineering and Technology","Industrial Engineering","Female","24","."
"1991","Engineering and Technology","Industrial Engineering","Male","46","."
"1991","Engineering and Technology","Other Engineering","Female","48","."
"1991","Engineering and Technology","Other Engineering","Male","127","."
"1991","Engineering and Technology","Chemistry","Female","17","."
"1991","Engineering and Technology","Chemistry","Male","16","."
"1991","Engineering and Technology","Physics","Female","7","."
"1991","Engineering and Technology","Physics","Male","67","."
"1991","Engineering and Technology","Other Physical Sciences","Female","1","."
"1991","Engineering and Technology","Other Physical Sciences","Male","6","."
"1991","Engineering and Technology","Atmospheric Sciences","Male","2","."
"1991","Engineering and Technology","Earth Sciences","Female","6","."
"1991","Engineering and Technology","Earth Sciences","Male","5","."
"1991","Engineering and Technology","Mathematics and Statistics","Female","10","."
"1991","Engineering and Technology","Mathematics and Statistics","Male","22","."
"1991","Engineering and Technology","Computer Science","Female","92","."
"1991","Engineering and Technology","Computer Science","Male","272","."
"1991","Engineering and Technology","Biological Sciences","Female","4","."
"1991","Engineering and Technology","Biological Sciences","Male","4","."
"1991","Engineering and Technology","Other Life Sciences","Female","21","."
"1991","Engineering and Technology","Other Life Sciences","Male","5","."
"1991","Engineering and Technology","Psychology","Female","1","."
"1991","Engineering and Technology","Psychology","Male","4","."
"1991","Engineering and Technology","Engineering Technologies","Female","167","."
"1991","Engineering and Technology","Engineering Technologies","Male","1,862","."
"1991","Engineering and Technology","Health Technologies","Female","28","."
"1991","Engineering and Technology","Health Technologies","Male","17","."
"1991","Engineering and Technology","Arts and Music","Female","101","."
"1991","Engineering and Technology","Arts and Music","Male","53","."
"1991","Engineering and Technology","Architecture and Environmental Design","Female","18","."
"1991","Engineering and Technology","Architecture and Environmental Design","Male","45","."
"1991","Engineering and Technology","Business and Management","Female","99","."
"1991","Engineering and Technology","Business and Management","Male","221","."
"1991","Engineering and Technology","Communication and Librarianship","Female","11","."
"1991","Engineering and Technology","Communication and Librarianship","Male","49","."
"1991","Engineering and Technology","Vocational Studies and Home Economics","Female","1","."
"1991","Engineering and Technology","Vocational Studies and Home Economics","Male","6","."
"1991","Engineering and Technology","Other Non-sciences or Unknown Disciplines","Female","177","."
"1991","Engineering and Technology","Other Non-sciences or Unknown Disciplines","Male","615","."
"1991","Medical","Agricultural Sciences","Female","8","."
"1991","Medical","Agricultural Sciences","Male","1","."
"1991","Medical","Medical Sciences","Female","270","."
"1991","Medical","Medical Sciences","Male","140","."
"1991","Medical","Other Life Sciences","Female","3,001","."
"1991","Medical","Other Life Sciences","Male","444","."
"1991","Medical","Health Technologies","Female","788","."
"1991","Medical","Health Technologies","Male","330","."
"1991","Medical","Other Science/Technical Education","Female","15","."
"1991","Medical","Other Science/Technical Education","Male","2","."
"1991","Medical","Vocational Studies and Home Economics","Female","32","."
"1991","Medical","Vocational Studies and Home Economics","Male","3","."
"1991","Health Professions","Chemistry","Female","1","."
"1991","Health Professions","Biological Sciences","Female","153","."
"1991","Health Professions","Biological Sciences","Male","334","."
"1991","Health Professions","Medical Sciences","Female","455","."
"1991","Health Professions","Medical Sciences","Male","303","."
"1991","Health Professions","Other Life Sciences","Female","563","."
"1991","Health Professions","Other Life Sciences","Male","99","."
"1991","Health Professions","Health Technologies","Female","19","."
"1991","Health Professions","Health Technologies","Male","2","."
"1991","Health Professions","Interdisciplinary or Other Sciences","Female","96","."
"1991","Health Professions","Interdisciplinary or Other Sciences","Male","163","."
"1991","Health Professions","Other Non-sciences or Unknown Disciplines","Female","13","."
"1991","Health Professions","Other Non-sciences or Unknown Disciplines","Male","11","."
"1991","Baccalaureate/Liberal Arts II","Aerospace Engineering","Male","4","."
"1991","Baccalaureate/Liberal Arts II","Chemical Engineering","Female","14","."
"1991","Baccalaureate/Liberal Arts II","Chemical Engineering","Male","22","."
"1991","Baccalaureate/Liberal Arts II","Civil Engineering","Female","12","."
"1991","Baccalaureate/Liberal Arts II","Civil Engineering","Male","93","."
"1991","Baccalaureate/Liberal Arts II","Electrical Engineering","Female","48","."
"1991","Baccalaureate/Liberal Arts II","Electrical Engineering","Male","344","."
"1991","Baccalaureate/Liberal Arts II","Mechanical Engineering","Female","36","."
"1991","Baccalaureate/Liberal Arts II","Mechanical Engineering","Male","269","."
"1991","Baccalaureate/Liberal Arts II","Materials Engineering","Female","1","."
"1991","Baccalaureate/Liberal Arts II","Industrial Engineering","Female","1","."
"1991","Baccalaureate/Liberal Arts II","Industrial Engineering","Male","10","."
"1991","Baccalaureate/Liberal Arts II","Other Engineering","Female","15","."
"1991","Baccalaureate/Liberal Arts II","Other Engineering","Male","128","."
"1991","Baccalaureate/Liberal Arts II","Astronomy","Male","4","."
"1991","Baccalaureate/Liberal Arts II","Chemistry","Female","341","."
"1991","Baccalaureate/Liberal Arts II","Chemistry","Male","405","."
"1991","Baccalaureate/Liberal Arts II","Physics","Female","43","."
"1991","Baccalaureate/Liberal Arts II","Physics","Male","139","."
"1991","Baccalaureate/Liberal Arts II","Other Physical Sciences","Female","56","."
"1991","Baccalaureate/Liberal Arts II","Other Physical Sciences","Male","82","."
"1991","Baccalaureate/Liberal Arts II","Atmospheric Sciences","Female","1","."
"1991","Baccalaureate/Liberal Arts II","Atmospheric Sciences","Male","17","."
"1991","Baccalaureate/Liberal Arts II","Earth Sciences","Female","10","."
"1991","Baccalaureate/Liberal Arts II","Earth Sciences","Male","31","."
"1991","Baccalaureate/Liberal Arts II","Mathematics and Statistics","Female","719","."
"1991","Baccalaureate/Liberal Arts II","Mathematics and Statistics","Male","728","."
"1991","Baccalaureate/Liberal Arts II","Computer Science","Female","928","."
"1991","Baccalaureate/Liberal Arts II","Computer Science","Male","1,908","."
"1991","Baccalaureate/Liberal Arts II","Agricultural Sciences","Female","114","."
"1991","Baccalaureate/Liberal Arts II","Agricultural Sciences","Male","192","."
"1991","Baccalaureate/Liberal Arts II","Biological Sciences","Female","1,645","."
"1991","Baccalaureate/Liberal Arts II","Biological Sciences","Male","1,356","."
"1991","Baccalaureate/Liberal Arts II","Medical Sciences","Female","166","."
"1991","Baccalaureate/Liberal Arts II","Medical Sciences","Male","81","."
"1991","Baccalaureate/Liberal Arts II","Other Life Sciences","Female","4,399","."
"1991","Baccalaureate/Liberal Arts II","Other Life Sciences","Male","470","."
"1991","Baccalaureate/Liberal Arts II","Psychology","Female","3,721","."
"1991","Baccalaureate/Liberal Arts II","Psychology","Male","1,217","."
"1991","Baccalaureate/Liberal Arts II","Economics","Female","210","."
"1991","Baccalaureate/Liberal Arts II","Economics","Male","287","."
"1991","Baccalaureate/Liberal Arts II","Political Science and Public Administration","Female","866","."
"1991","Baccalaureate/Liberal Arts II","Political Science and Public Administration","Male","947","."
"1991","Baccalaureate/Liberal Arts II","Sociology","Female","1,144","."
"1991","Baccalaureate/Liberal Arts II","Sociology","Male","477","."
"1991","Baccalaureate/Liberal Arts II","Anthropology","Female","39","."
"1991","Baccalaureate/Liberal Arts II","Anthropology","Male","24","."
"1991","Baccalaureate/Liberal Arts II","Area and Ethnic Studies","Female","94","."
"1991","Baccalaureate/Liberal Arts II","Area and Ethnic Studies","Male","41","."
"1991","Baccalaureate/Liberal Arts II","Other Social Sciences","Female","1,049","."
"1991","Baccalaureate/Liberal Arts II","Other Social Sciences","Male","808","."
"1991","Baccalaureate/Liberal Arts II","Science Technologies","Female","4","."
"1991","Baccalaureate/Liberal Arts II","Science Technologies","Male","23","."
"1991","Baccalaureate/Liberal Arts II","Engineering Technologies","Female","176","."
"1991","Baccalaureate/Liberal Arts II","Engineering Technologies","Male","1,809","."
"1991","Baccalaureate/Liberal Arts II","Health Technologies","Female","484","."
"1991","Baccalaureate/Liberal Arts II","Health Technologies","Male","116","."
"1991","Baccalaureate/Liberal Arts II","Other Science and Engineering Technologies","Female","19","."
"1991","Baccalaureate/Liberal Arts II","Other Science and Engineering Technologies","Male","126","."
"1991","Baccalaureate/Liberal Arts II","Interdisciplinary or Other Sciences","Female","98","."
"1991","Baccalaureate/Liberal Arts II","Interdisciplinary or Other Sciences","Male","141","."
"1991","Baccalaureate/Liberal Arts II","History","Female","693","."
"1991","Baccalaureate/Liberal Arts II","History","Male","959","."
"1991","Baccalaureate/Liberal Arts II","English and Literature","Female","2,348","."
"1991","Baccalaureate/Liberal Arts II","English and Literature","Male","849","."
"1991","Baccalaureate/Liberal Arts II","Foreign Languages","Female","416","."
"1991","Baccalaureate/Liberal Arts II","Foreign Languages","Male","100","."
"1991","Baccalaureate/Liberal Arts II","Other Humanities","Female","113","."
"1991","Baccalaureate/Liberal Arts II","Other Humanities","Male","191","."
"1991","Baccalaureate/Liberal Arts II","Religion and Theology","Female","255","."
"1991","Baccalaureate/Liberal Arts II","Religion and Theology","Male","1,022","."
"1991","Baccalaureate/Liberal Arts II","Arts and Music","Female","1,717","."
"1991","Baccalaureate/Liberal Arts II","Arts and Music","Male","922","."
"1991","Baccalaureate/Liberal Arts II","Architecture and Environmental Design","Female","143","."
"1991","Baccalaureate/Liberal Arts II","Architecture and Environmental Design","Male","143","."
"1991","Baccalaureate/Liberal Arts II","Science Education","Female","72","."
"1991","Baccalaureate/Liberal Arts II","Science Education","Male","57","."
"1991","Baccalaureate/Liberal Arts II","Mathematics Education","Female","139","."
"1991","Baccalaureate/Liberal Arts II","Mathematics Education","Male","96","."
"1991","Baccalaureate/Liberal Arts II","Social Science Education","Female","43","."
"1991","Baccalaureate/Liberal Arts II","Social Science Education","Male","56","."
"1991","Baccalaureate/Liberal Arts II","Other Science/Technical Education","Female","76","."
"1991","Baccalaureate/Liberal Arts II","Other Science/Technical Education","Male","70","."
"1991","Baccalaureate/Liberal Arts II","Non-Science Education","Female","11,228","."
"1991","Baccalaureate/Liberal Arts II","Non-Science Education","Male","2,722","."
"1991","Baccalaureate/Liberal Arts II","Business and Management","Female","15,646","."
"1991","Baccalaureate/Liberal Arts II","Business and Management","Male","15,054","."
"1991","Baccalaureate/Liberal Arts II","Communication and Librarianship","Female","1,897","."
"1991","Baccalaureate/Liberal Arts II","Communication and Librarianship","Male","1,270","."
"1991","Baccalaureate/Liberal Arts II","Law","Female","45","."
"1991","Baccalaureate/Liberal Arts II","Law","Male","21","."
"1991","Baccalaureate/Liberal Arts II","Social Service Professions","Female","1,414","."
"1991","Baccalaureate/Liberal Arts II","Social Service Professions","Male","298","."
"1991","Baccalaureate/Liberal Arts II","Vocational Studies and Home Economics","Female","968","."
"1991","Baccalaureate/Liberal Arts II","Vocational Studies and Home Economics","Male","1,060","."
"1991","Baccalaureate/Liberal Arts II","Other Non-sciences or Unknown Disciplines","Female","4,708","."
"1991","Baccalaureate/Liberal Arts II","Other Non-sciences or Unknown Disciplines","Male","4,541","."
"1991","Tribal","Other Social Sciences","Female","4","."
"1991","Tribal","Other Social Sciences","Male","2","."
"1991","Tribal","Health Technologies","Female","2","."
"1991","Tribal","Health Technologies","Male","1","."
"1991","Tribal","Non-Science Education","Female","25","."
"1991","Tribal","Business and Management","Female","2","."
"1991","Tribal","Business and Management","Male","2","."
"1991","Baccalaureate/Liberal Arts I","Chemical Engineering","Female","15","."
"1991","Baccalaureate/Liberal Arts I","Chemical Engineering","Male","19","."
"1991","Baccalaureate/Liberal Arts I","Civil Engineering","Female","10","."
"1991","Baccalaureate/Liberal Arts I","Civil Engineering","Male","101","."
"1991","Baccalaureate/Liberal Arts I","Electrical Engineering","Female","13","."
"1991","Baccalaureate/Liberal Arts I","Electrical Engineering","Male","99","."
"1991","Baccalaureate/Liberal Arts I","Mechanical Engineering","Female","6","."
"1991","Baccalaureate/Liberal Arts I","Mechanical Engineering","Male","105","."
"1991","Baccalaureate/Liberal Arts I","Other Engineering","Female","24","."
"1991","Baccalaureate/Liberal Arts I","Other Engineering","Male","79","."
"1991","Baccalaureate/Liberal Arts I","Astronomy","Female","13","."
"1991","Baccalaureate/Liberal Arts I","Astronomy","Male","11","."
"1991","Baccalaureate/Liberal Arts I","Chemistry","Female","461","."
"1991","Baccalaureate/Liberal Arts I","Chemistry","Male","651","."
"1991","Baccalaureate/Liberal Arts I","Physics","Female","127","."
"1991","Baccalaureate/Liberal Arts I","Physics","Male","517","."
"1991","Baccalaureate/Liberal Arts I","Other Physical Sciences","Female","25","."
"1991","Baccalaureate/Liberal Arts I","Other Physical Sciences","Male","28","."
"1991","Baccalaureate/Liberal Arts I","Atmospheric Sciences","Female","3","."
"1991","Baccalaureate/Liberal Arts I","Atmospheric Sciences","Male","6","."
"1991","Baccalaureate/Liberal Arts I","Earth Sciences","Female","94","."
"1991","Baccalaureate/Liberal Arts I","Earth Sciences","Male","142","."
"1991","Baccalaureate/Liberal Arts I","Mathematics and Statistics","Female","656","."
"1991","Baccalaureate/Liberal Arts I","Mathematics and Statistics","Male","654","."
"1991","Baccalaureate/Liberal Arts I","Computer Science","Female","195","."
"1991","Baccalaureate/Liberal Arts I","Computer Science","Male","478","."
"1991","Baccalaureate/Liberal Arts I","Agricultural Sciences","Female","17","."
"1991","Baccalaureate/Liberal Arts I","Agricultural Sciences","Male","13","."
"1991","Baccalaureate/Liberal Arts I","Biological Sciences","Female","2,251","."
"1991","Baccalaureate/Liberal Arts I","Biological Sciences","Male","1,817","."
"1991","Baccalaureate/Liberal Arts I","Medical Sciences","Female","42","."
"1991","Baccalaureate/Liberal Arts I","Medical Sciences","Male","33","."
"1991","Baccalaureate/Liberal Arts I","Other Life Sciences","Female","401","."
"1991","Baccalaureate/Liberal Arts I","Other Life Sciences","Male","46","."
"1991","Baccalaureate/Liberal Arts I","Psychology","Female","3,329","."
